price,speed,hd,ssd,ram,screen,touch,usb,battery,backlit,resolution,graphics,cd,multi,premium,ads,trend
4786.33564,96,96,no,20,16,yes,1,4,no,1507,integrated,yes,yes,yes,28,3
4514.669153,83,468,yes,20,15,yes,4,6,no,1176,integrated,yes,no,no,98,3
3518.058131,82,380,yes,3,14,yes,3,7,no,2190,dedicated,no,yes,yes,13,1
5348.747411,89,344,yes,30,15,yes,2,5,yes,2262,dedicated,no,no,no,18,4
5588.205027,90,121,yes,23,17,no,4,5,no,3081,integrated,no,yes,yes,54,2
5618.294948,62,280,no,25,17,no,1,8,no,3173,dedicated,yes,yes,yes,55,1
4178.485239,49,110,yes,15,14,no,3,7,yes,3735,dedicated,no,yes,no,3,4
2411.144867,31,134,yes,4,15,yes,4,9,yes,1238,integrated,yes,no,no,77,3
4651.599221,66,471,no,16,16,no,3,5,no,2413,dedicated,yes,no,yes,45,4
2458.40017,28,471,no,11,14,no,3,9,yes,1131,integrated,yes,no,no,41,2
3688.806871,86,88,yes,5,17,no,1,9,no,1485,dedicated,yes,yes,yes,85,4
5129.943454,74,346,no,16,16,no,3,5,yes,3374,dedicated,no,no,no,74,2
3583.248907,28,223,yes,2,17,yes,4,2,yes,3054,dedicated,yes,no,no,52,3
4589.266721,81,232,no,2,14,no,1,5,no,3885,dedicated,no,yes,yes,50,4
5880.103468,77,485,yes,23,14,no,4,4,no,3683,dedicated,yes,no,no,81,1
4823.331066,47,359,no,30,17,no,4,6,yes,1906,integrated,yes,no,no,59,3
3398.340823,38,369,yes,5,17,no,4,2,no,1488,dedicated,yes,yes,no,92,4
5039.761524,76,206,yes,19,17,yes,1,5,no,2930,integrated,yes,no,no,92,3
5587.925759,47,125,yes,31,14,yes,4,4,no,3775,integrated,yes,no,no,53,4
3438.524887,49,270,no,16,17,no,4,6,no,1689,integrated,no,no,yes,15,4
3187.27355,85,251,yes,7,16,yes,2,6,yes,1968,integrated,no,no,no,6,2
4542.984419,40,436,no,15,17,no,3,7,yes,2635,integrated,yes,yes,yes,77,1
5426.273857,50,221,no,31,17,no,1,2,no,2202,integrated,no,no,yes,89,1
4434.901582,61,348,no,14,15,yes,4,7,no,2908,integrated,yes,yes,no,42,4
3649.059735,56,210,no,18,17,no,2,2,no,1384,integrated,no,yes,no,27,3
4672.361871,36,216,yes,7,15,yes,4,2,no,3422,dedicated,yes,yes,yes,83,2
3529.387272,69,160,yes,23,16,no,3,6,no,1426,integrated,no,no,no,5,3
4073.76718,78,159,no,7,17,no,1,2,no,3354,integrated,yes,no,no,18,3
5757.472461,67,214,yes,24,17,no,3,6,yes,3817,dedicated,yes,no,no,81,2
3781.224561,57,224,no,25,14,yes,1,9,yes,1118,dedicated,no,no,no,29,4
4306.078643,27,387,yes,19,15,no,1,4,yes,3883,integrated,yes,yes,no,17,2
3551.795001,34,1416,yes,8,14,no,1,9,no,3949,integrated,yes,yes,yes,14,2
2914.910625,70,287,yes,6,17,no,2,3,yes,1112,integrated,no,no,no,53,2
4613.723905,82,200,no,19,15,no,2,3,no,1563,integrated,yes,no,yes,69,4
4653.773564,90,195,yes,19,14,no,1,8,no,1716,dedicated,no,no,yes,94,2
4752.28417,68,384,yes,3,17,no,3,5,yes,4026,integrated,yes,yes,yes,86,1
3684.307954,49,353,yes,8,17,yes,1,7,no,3777,integrated,no,no,no,43,1
5152.707447,28,498,yes,27,14,yes,4,2,no,3008,dedicated,no,no,yes,41,3
4705.017901,88,246,no,18,14,yes,4,6,no,2701,integrated,no,no,yes,17,2
4622.82557,80,360,yes,12,17,yes,3,3,yes,1941,integrated,yes,no,no,99,3
2516.150144,33,307,no,2,15,yes,1,5,yes,1805,integrated,no,no,no,62,4
3340.60154,38,202,yes,5,14,no,1,7,no,2575,integrated,yes,yes,yes,76,3
4525.081741,28,472,yes,25,14,no,1,5,no,2587,integrated,yes,yes,yes,56,2
5257.499073,97,406,yes,21,16,yes,1,2,no,1492,integrated,yes,no,yes,86,3
3496.105233,59,121,no,2,17,yes,2,3,no,1693,dedicated,yes,yes,yes,47,3
3857.771491,40,138,no,18,17,no,1,7,yes,1860,dedicated,no,no,yes,46,3
2948.866796,33,142,yes,15,15,no,4,2,yes,1434,integrated,no,no,no,43,2
4325.749024,46,417,no,19,15,yes,1,5,yes,3135,integrated,no,no,no,32,1
5616.584231,50,288,yes,26,15,yes,4,2,yes,3619,integrated,no,yes,yes,22,1
5124.355621,34,462,yes,31,16,no,2,2,no,2392,dedicated,yes,yes,yes,20,3
3925.684435,55,483,no,27,14,yes,2,9,yes,1148,dedicated,no,no,no,13,1
5271.428879,54,357,no,14,15,yes,4,7,no,3896,integrated,yes,no,yes,88,4
5553.003502,58,235,no,27,17,no,4,4,no,3786,dedicated,no,no,yes,9,1
4914.60628,31,160,no,20,15,no,4,7,no,2815,integrated,yes,yes,yes,99,2
5055.632418,53,440,yes,20,14,no,4,6,yes,3585,dedicated,yes,no,yes,24,4
3925.266738,40,478,yes,19,15,no,3,2,yes,1246,dedicated,yes,no,yes,34,4
4721.563723,50,428,yes,11,17,no,4,8,yes,4069,integrated,no,yes,yes,52,2
3647.076145,54,455,no,3,15,yes,3,7,no,3126,dedicated,yes,no,no,48,3
4609.196727,71,139,yes,28,17,no,4,8,no,1304,integrated,yes,yes,no,64,1
3465.782977,26,435,no,14,15,no,3,6,no,3328,integrated,no,no,no,3,1
5876.760892,57,260,no,29,14,yes,1,9,no,3904,integrated,no,yes,yes,61,2
4173.606036,64,95,no,10,16,no,1,9,yes,3921,integrated,no,yes,yes,3,2
3485.584546,57,270,no,3,16,yes,1,7,yes,3964,integrated,no,no,no,2,3
5075.486478,83,346,no,2,17,yes,4,3,yes,3915,integrated,no,no,yes,88,3
4896.142753,69,315,no,26,17,no,1,8,yes,2560,integrated,yes,yes,yes,2,4
4448.809508,52,374,no,14,15,no,3,7,yes,3283,integrated,yes,yes,yes,16,1
5099.665931,31,163,yes,22,15,yes,2,2,no,4035,integrated,yes,no,no,74,1
4459.985715,21,172,yes,24,17,no,3,4,no,3791,integrated,no,no,no,39,1
4669.831133,50,158,yes,15,16,yes,4,7,no,3732,integrated,no,yes,yes,35,3
4595.529831,95,173,no,13,16,no,4,7,yes,1655,dedicated,no,no,no,98,4
5096.826356,75,187,no,17,14,yes,2,5,no,3907,dedicated,yes,no,no,20,3
5491.22625,60,275,no,21,15,yes,4,6,no,4039,integrated,no,yes,yes,16,4
4633.853224,62,81,yes,30,14,no,2,5,yes,2270,integrated,yes,yes,no,11,3
3402.462704,33,109,no,7,15,yes,3,9,no,3840,dedicated,no,no,no,1,2
3711.450627,80,368,yes,8,14,no,2,6,no,1772,dedicated,yes,yes,yes,28,3
5575.475515,44,438,no,31,17,no,3,2,yes,3700,integrated,no,yes,no,3,1
5873.256624,56,423,yes,30,14,yes,3,5,yes,4071,dedicated,no,no,no,38,4
5369.103005,56,87,no,31,17,no,1,5,yes,1529,dedicated,no,yes,yes,83,3
3972.069849,92,371,no,2,14,yes,3,8,no,1909,dedicated,yes,yes,yes,51,1
2358.793559,51,163,yes,5,16,yes,1,9,no,1153,integrated,yes,yes,yes,19,4
4459.82285,53,324,yes,10,14,yes,3,4,no,3563,integrated,no,yes,no,86,4
5167.170735,79,330,no,31,16,yes,2,7,no,1944,dedicated,yes,no,no,23,1
3996.25391,47,275,yes,18,17,yes,1,9,yes,2123,integrated,yes,no,no,81,2
3202.24215,55,375,yes,16,17,no,2,9,no,1148,integrated,yes,yes,yes,19,1
5336.160773,72,319,yes,16,14,no,4,3,yes,3165,dedicated,no,no,yes,76,4
4979.693159,72,328,yes,10,15,yes,4,6,yes,3799,integrated,no,no,yes,75,3
3389.116106,21,304,yes,14,17,yes,3,2,no,1529,dedicated,no,yes,no,45,2
4451.266722,23,202,no,23,15,yes,2,4,yes,2407,integrated,no,yes,yes,31,4
2819.698909,74,239,yes,4,15,yes,1,6,yes,1724,integrated,yes,no,no,20,4
3001.938925,93,122,yes,6,16,yes,2,8,yes,1493,integrated,yes,no,no,11,2
4728.983557,30,114,no,30,14,yes,3,9,yes,2746,integrated,yes,no,yes,18,1
5615.850161,60,311,yes,26,14,no,1,8,no,3592,dedicated,yes,no,yes,86,1
4285.930031,71,154,yes,16,14,yes,3,9,no,2612,integrated,no,no,no,95,2
3826.549669,27,448,yes,26,16,no,1,6,no,1577,integrated,yes,no,no,77,1
4910.400387,65,420,yes,26,14,yes,1,9,no,2517,dedicated,yes,yes,yes,11,1
5368.374847,83,309,yes,18,17,no,2,3,yes,2933,dedicated,yes,no,no,85,2
4741.206918,29,123,no,11,16,yes,2,8,yes,3546,dedicated,yes,yes,yes,75,3
5354.883557,72,362,yes,30,14,yes,2,8,no,3272,dedicated,no,no,no,27,3
4869.380622,47,383,no,7,15,yes,3,4,yes,3967,dedicated,no,yes,yes,61,2
3580.490074,30,188,yes,9,16,no,3,8,no,3324,dedicated,yes,yes,no,46,4
5621.18534,79,265,no,21,16,yes,1,5,yes,3251,integrated,yes,no,yes,66,2
3956.369809,45,192,no,16,17,yes,4,2,yes,1182,integrated,no,no,yes,64,3
4224.464139,70,271,yes,11,17,yes,3,2,no,2008,dedicated,yes,yes,no,45,1
3805.817643,52,298,no,13,14,no,1,7,yes,1625,integrated,yes,yes,yes,76,2
3607.989881,49,275,yes,2,17,no,2,3,no,3890,dedicated,yes,yes,no,5,2
5029.96649,42,342,no,24,16,no,2,8,yes,3792,integrated,yes,no,no,61,4
4477.920833,54,477,no,10,17,no,3,2,yes,4035,integrated,no,yes,no,10,3
4377.726859,24,335,no,16,16,no,3,6,no,2183,dedicated,yes,yes,yes,90,4
3824.320059,49,84,no,11,16,no,2,9,no,2199,dedicated,no,no,yes,83,4
5436.739268,20,283,yes,31,15,yes,2,2,yes,4089,integrated,no,no,no,59,1
3274.081593,20,392,yes,3,15,yes,1,6,yes,3632,integrated,yes,no,no,62,3
5554.773203,88,301,no,15,16,no,3,5,yes,3784,integrated,no,yes,no,82,2
5030.35541,73,494,no,12,14,no,3,8,yes,4014,integrated,no,yes,no,70,4
3660.563698,31,100,no,7,14,no,4,8,yes,3413,integrated,yes,no,yes,38,3
3882.967146,36,150,no,11,17,no,3,5,yes,2811,integrated,no,no,yes,61,4
4040.694265,40,336,no,10,15,yes,4,9,yes,2359,integrated,no,yes,yes,90,3
5650.35374,94,215,yes,8,17,no,2,3,yes,4083,dedicated,yes,yes,no,96,2
3974.537927,85,497,yes,15,14,yes,1,5,no,1784,integrated,no,yes,no,31,2
5863.393325,71,206,yes,21,14,yes,3,5,yes,3469,dedicated,yes,yes,yes,52,4
5686.704012,88,93,no,20,15,no,3,4,no,3796,dedicated,no,no,yes,26,2
